6,16,4,8,38,11,35,13
3,35,9,30,43,16,33,9
3,39,8,43,50,23,32,16
18,46,14,29,42,29,28,33
15,30,6,21,46,25,28,27
4,33,18,20,34,19,14,38
10,30,9,44,42,18,4,42
2,35,4,26,32,22,21,45
10,35,10,48,43,39,28,42
17,25,2,44,57,36,42,37
44,35,18,40,49,34,46,41
16,42,8,36,34,46,48,52
24,40,17,49,38,45,41,26
19,16,25,40,16,46,36,35
22,29,17,72,57,44,44,48
17,45,14,53,60,46,42,18
15,47,2,65,46,39,50,52
14,30,34,69,58,14,50,25
22,62,16,69,48,19,46,45
29,9,20,68,39,12,61,23
9,50,22,53,66,54,49,16
34,55,25,43,49,43,37,8
19,58,18,61,17,41,17,28
12,18,9,55,56,26,47,54
26,43,11,25,9,28,50,51
28,40,29,61,61,22,49,45
24,41,18,58,5,33,56,34
8,33,24,67,51,40,62,57
28,51,15,42,47,23,51,19
32,44,39,10,18,32,13,58
12,44,36,47,48,35,51,66
31,51,29,46,51,30,60,66
25,51,21,11,28,47,29,34
22,52,27,32,56,27,24,57
19,47,7,52,30,21,29,52
30,46,13,49,44,24,25,68
36,59,30,43,43,43,24,14
29,49,6,50,55,23,46,65
23,40,44,44,57,42,48,51
17,39,19,42,38,37,31,75
17,49,14,41,44,40,26,32
12,39,45,39,37,29,31,36
14,31,42,58,53,20,42,36
19,43,22,43,42,31,32,73
39,53,14,37,27,63,37,44
9,46,26,34,43,44,21,27
14,27,5,49,51,33,58,24
17,33,NaN,31,27,30,19,68
29,39,NaN,32,21,46,29,39
25,45,NaN,40,24,38,27,41
23,40,NaN,43,48,33,56,44
21,28,NaN,38,35,34,27,20
31,NaN,NaN,47,43,42,26,NaN
10,NaN,NaN,45,58,NaN,7,NaN
11,NaN,NaN,32,51,NaN,48,NaN
20,NaN,NaN,48,44,NaN,37,NaN
15,NaN,NaN,46,42,NaN,43,NaN
11,NaN,NaN,50,54,NaN,43,NaN
NaN,NaN,NaN,NaN,NaN,NaN,41,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
