0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5,1.0,3.0,30.0,23.0,30.0,30.0,31.0,31.0,30.0,41.0,38.0,30.0,30.0,30.0,30.0,31.0,31.0,30.0,31.0,34.0,31.0
5,8.0,4.0,8.0,26.0,32.0,31.0,31.0,33.0,32.0,32.0,36.0,37.0,32.0,30.0,31.0,32.0,30.0,33.0,39.0,36.0,31.0
5,2.0,5.0,22.0,31.0,30.0,38.0,22.0,30.0,30.0,30.0,31.0,32.0,32.0,30.0,30.0,32.0,42.0,30.0,30.0,30.0,30.0
5,21.0,34.0,31.0,33.0,32.0,36.0,30.0,30.0,30.0,40.0,31.0,39.0,32.0,31.0,32.0,35.0,31.0,34.0,31.0,30.0,30.0
5,2.0,5.0,8.0,26.0,25.0,31.0,30.0,33.0,31.0,31.0,30.0,30.0,30.0,31.0,43.0,31.0,30.0,33.0,30.0,30.0,30.0
5,2.0,3.0,3.0,26.0,3.0,23.0,35.0,40.0,31.0,31.0,32.0,30.0,30.0,37.0,43.0,31.0,31.0,43.0,32.0,30.0,33.0
