0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,29.0,27.0,76.0,72.0,58.0,50.0,57.0,47.0,41.0,49.0,45.0,37.0,36.0,42.0,36.0,34.0,35.0,35.0,38.0,45.0,33.0
10,23.0,25.0,17.0,50.0,52.0,44.0,46.0,52.0,38.0,41.0,42.0,46.0,37.0,46.0,48.0,34.0,35.0,40.0,43.0,39.0,34.0
10,16.0,12.0,56.0,51.0,42.0,64.0,53.0,68.0,43.0,52.0,37.0,40.0,47.0,41.0,38.0,37.0,45.0,42.0,33.0,43.0,38.0
10,47.0,48.0,47.0,50.0,52.0,58.0,40.0,62.0,50.0,62.0,39.0,49.0,37.0,43.0,40.0,41.0,43.0,43.0,35.0,32.0,33.0
10,17.0,23.0,36.0,46.0,73.0,58.0,47.0,55.0,52.0,40.0,46.0,43.0,42.0,39.0,52.0,42.0,40.0,36.0,35.0,37.0,38.0
10,5.0,10.0,10.0,50.0,10.0,55.0,46.0,92.0,53.0,48.0,42.0,45.0,44.0,53.0,49.0,44.0,38.0,63.0,34.0,33.0,36.0
