0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5,4,4,1,2,2,35,50,40,58,53,61,65,63,65,60,51,55,38,55,55,46
5,27,58,58,47,64,59,51,48,39,34,39,37,37,34,35,34,35,34,37,36,40
5,16,26,41,46,46,35,53,48,40,22,19,18,32,44,44,51,39,45,14,44,41
5,2,4,4,5,27,49,37,54,58,71,70,76,39,54,57,48,51,40,44,45,42
5,8,13,40,57,56,44,53,47,50,49,62,47,64,44,40,35,35,34,41,36,40
5,3,2,3,2,1,2,1,1,4,48,62,47,55,71,64,66,63,52,48,37,49
