0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,3.0,7.0,49.0,66.0,58.0,50.0,53.0,48.0,41.0,51.0,46.0,40.0,34.0,39.0,33.0,34.0,37.0,33.0,33.0,37.0,36.0
10,11.0,12.0,15.0,41.0,50.0,42.0,46.0,45.0,39.0,39.0,40.0,44.0,38.0,43.0,47.0,34.0,33.0,39.0,44.0,41.0,34.0
10,4.0,6.0,46.0,48.0,40.0,55.0,34.0,64.0,41.0,42.0,36.0,40.0,42.0,33.0,35.0,34.0,45.0,39.0,34.0,42.0,38.0
10,32.0,48.0,46.0,42.0,48.0,46.0,38.0,47.0,44.0,63.0,38.0,51.0,37.0,45.0,38.0,41.0,42.0,44.0,35.0,32.0,32.0
10,7.0,10.0,13.0,47.0,65.0,59.0,45.0,50.0,46.0,42.0,39.0,39.0,39.0,39.0,53.0,38.0,40.0,38.0,33.0,37.0,40.0
10,3.0,6.0,6.0,41.0,5.0,46.0,46.0,78.0,51.0,44.0,40.0,46.0,39.0,51.0,51.0,38.0,40.0,58.0,33.0,33.0,34.0
